Dataset identifier;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Number of records;Size of records in the dataset (in bytes);Reuse count;API call count;Download count;Attachments download count;File fields download count;Popularity score;Visibility (domain or restricted);Published;Publishing properties
origine-geographique-des-visites-du-site-web-de-la-ville-2012;False;Origine géographique des visites du site web de la Ville (2012);<p>Pays et territoires des visiteurs du  site web de la Ville de Bruxelles déterminés par la zone géographique associée à leur adresse IP (2012). Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);fr;;2014-10-23T12:48:06+02:00;2018-01-07T23:54:01+01:00;2023-01-31T19:12:22.966000+01:00;Ville de Bruxelles/Cellule Web;;;216;3657;0;7475;147;0;0;3.4;domain;True;manual
visited-web-pages-of-the-city-in-2013;False;Visited web pages of the City (by URL) in 2013;"<p>Visitor statistics of the pages of the website of the City of Brussels with the address of the page (after <a href=""http://www.brussels.be/"" target=""_blank"">www.brussels.be</a>), the number of pages viewed, the number of unique visits, average time spent on the page. Source: Google Analytics.</p>";Internet, TIC;;Licence Ouverte (Etalab);en;;2014-10-29T16:10:41+01:00;2018-01-07T23:51:21+01:00;2023-01-31T19:12:24.021000+01:00;City of Brussels/Web Unit;;;25000;2068314;0;9711;142;0;0;3.8;domain;True;manual
covers-van-de-brusseleir;False;Covers van de Brusseleir;<p>Covers van het magazine van de Stad Brussel, ‘De Brusseleir’.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;magazine;Licence Ouverte (Etalab);nl;;2015-12-11T13:11:45+01:00;2018-01-08T00:02:17+01:00;2023-01-31T19:12:25.148000+01:00;De Brusseleir;http://www.brussel.be/4887;;112;15464;0;8725;150;0;487;3.7;domain;True;manual
geografische-oorsprong-gemeenten-van-de-bezoeken-aan-de-website-van-de-stad-2013;False;Geografische oorsprong (Belgische gemeenten) van de bezoeken aan de website van de Stad (2013);<p>Steden (gemeenten) van herkomst van de bezoekers van de website van de Stad Brussel uit België, bepaald door hun IP-adres. Bron: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);nl;;2014-11-17T15:33:14+01:00;2018-01-08T00:15:11+01:00;2023-01-31T19:12:24.390000+01:00;Stad Brussel/Cel Web;;;503;8558;0;8489;172;0;0;3.7;domain;True;manual
origine-geographique-communes-belges-des-visites-du-site-web-de-la-ville-2014;False;Origine géographique (communes belges) des visites du site web de la Ville (2014);<p>Villes (communes) d'origine des visiteurs du site web de la Ville de Bruxelles en provenance de Belgique, déterminées par leur adresse iP. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);fr;;2014-11-17T15:33:14+01:00;2018-01-08T00:03:37+01:00;2023-01-31T19:12:25.846000+01:00;Ville de Bruxelles/Cellule Web;;;461;9484;0;10202;148;0;0;3.9;domain;True;manual
musea-in-brussel;False;Musea in Brussel;<p>Locatie van de musea op het grondgebied van de Stad Brussel (waaronder de musea van de Stad Brussel).</p>;Culture, Patrimoine, Folklore;;Licence Ouverte (Etalab);nl;;2014-12-31T13:15:27+01:00;2018-01-07T23:49:40+01:00;2023-01-31T19:12:25.027000+01:00;Stad Brussel/Cel Web;http://www.brussel.be/4443;;45;12965;0;136027;285;0;0;12.8;domain;True;manual
bezochte-webpaginas-van-de-stad-per-url-in-2014;False;Bezochte webpagina's van de Stad (per URL) in 2014;"<p>Bezoekersstatistieken van de pagina's van de website van de Stad Brussel (2014) met het adres van de pagina (volgend op <a href=""http://www.brussel.be"" target=""_blank"">www.brussel.be</a>), het aantal bekeken pagina's, het aantal unieke bezoeken, de gemiddelde tijd besteed aan de pagina. Bron: Google Analytics.</p>";Internet, TIC;;Licence Ouverte (Etalab);nl;;2014-10-29T16:10:41+01:00;2018-01-08T00:07:46+01:00;2023-01-31T19:12:27.076000+01:00;Stad Brussel/Cel Web;;;24997;2689136;0;10528;164;0;0;4.0;domain;True;manual
geographical-origin-belgian-municipalities-of-the-visits-to-the-website-of-the-c;False;Geographical origin (belgian municipalities) of the visits to the website of the City (2014);<p>Cities (municipalities) of origin of visitors to the website of the City of Brussels from Belgium, determined by their IP address. Source: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);en;;2014-11-17T15:33:14+01:00;2018-01-07T23:57:13+01:00;2023-01-31T19:12:25.853000+01:00;City of Brussels/Web Unit;;;461;9484;0;10733;156;0;0;4.0;domain;True;manual
bezochte-webpaginas-van-de-stad-per-titel-in-2014;False;Bezochte webpagina's van de Stad (per titel) in 2014;<p>Bezoekersstatistieken van de pagina's van de website van de Stad Brussel (2014) met de titel van de pagina, het aantal bekeken pagina's, het aantal unieke bezoeken, de gemiddelde tijd besteed aan de pagina. Bron: Google Analytics.</p>;Internet, TIC;;Licence Ouverte (Etalab);nl;;2014-10-29T16:10:41+01:00;2018-01-07T23:47:50+01:00;2023-01-31T19:12:26.896000+01:00;Stad Brussel/Cel Web;;;20670;1675052;0;9628;165;0;0;3.9;domain;True;manual
collections-des-bibliotheques-francophones-en-2014;False;Collections des bibliothèques francophones en 2014;<p>Etat des collections (par types de documents) des bibliothèques francophones de la Ville de Bruxelles au 31 décembre 2014.</p>;Culture, Patrimoine, Folklore;"bibliothèque;livre;lecture publique";Licence Ouverte (Etalab);fr;;2014-04-06T11:18:25+02:00;2018-01-07T23:45:27+01:00;2023-01-31T19:12:28.170000+01:00;Ville de Bruxelles/Instruction publique;http://www.bruxelles.be/4649;;26;2230;0;7724;152;0;0;3.5;domain;True;manual
consultations-pour-enfants-de-kg;False;Consultations pour enfants de K&G;"<p>Localisation des consultations pour enfants (0-3 ans) de K&amp;G (Kind &amp; Gezin) sur le territoire de la Ville de Bruxelles.</p>";Santé;"enfant;santé";Licence Ouverte (Etalab);fr;;2014-09-18T11:49:30+02:00;2018-01-07T23:51:10+01:00;2023-01-31T19:12:27.255000+01:00;Kind & Gezin;http://www.bruxelles.be/5735;;6;1270;0;10640;178;0;0;4.0;domain;True;manual
logements-moyens-avec-conditions-de-revenus-de-la-regie-fonciere-2014;False;Logements moyens (avec conditions de revenus) de la Régie foncière (2014);<p>Situation du logement moyen (avec conditions de revenus) de la Régie foncière au 31 décembre 2014</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"Régie foncière;logement";Licence Ouverte (Etalab);fr;;2015-03-26T08:53:09+01:00;2019-10-30T12:04:15+01:00;2023-01-31T19:12:28.510000+01:00;;http://www.bruxelles.be/4736;;5;259;0;10505;160;0;0;4.0;domain;True;manual
actualites-ville-de-bruxelles;False;Actualités communales;<p>Actualités publiées sur le site web de la Ville de Bruxelles.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"information;actualités;actualité";Licence Ouverte (Etalab);fr;;2015-04-24T11:46:39+02:00;2018-01-07T23:59:41+01:00;2023-01-31T19:12:30.653000+01:00;Ville de Bruxelles/Cellule Web;http://www.bruxelles.be/4694;;0;0;0;11026;180;0;0;4.1;domain;True;manual
outdoor-multisports-grounds;False;Outdoor multisports grounds;<p>Outdoor multisports grounds of the City of Brussels (with address and description of the equipment).</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"sport;multisport;ground";Licence Ouverte (Etalab);en;;2015-04-14T14:36:18+02:00;2018-01-08T00:09:27+01:00;2023-01-31T19:12:29.517000+01:00;City of Brussels/Green Spaces;;;18;4084;0;12589;182;0;0;4.3;domain;True;manual
patrimoine-logements-de-la-regie-fonciere-2014;False;Patrimoine (logements) de la Régie foncière (2014);<p>Patrimoine (logements) de la Régie foncière au 31 décembre 2014</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;"Régie foncière;logement";Licence Ouverte (Etalab);fr;;2015-03-26T08:53:09+01:00;;2023-01-31T19:12:28.590000+01:00;;http://www.bruxelles.be/4733;;0;0;0;2365;137;0;0;2.2;domain;False;manual
monuments-funeraires-du-cimetiere-de-laeken;False;Monuments funéraires du cimetière de Laeken;<p>Quelques monuments et tombeaux du cimetière de Laeken à Bruxelles.</p>;Culture, Patrimoine, Folklore;"cimetière;monument;funéraire;tombe;tombeau";Licence Ouverte (Etalab);fr;;2015-07-22T15:25:09+02:00;2018-01-08T00:03:09+01:00;2023-01-31T19:12:30.852000+01:00;Ville de Bruxelles/Cellule Web;;;20;4898;0;13795;188;0;125;4.5;domain;True;manual
male-first-names-2012;False;Male first names 2012;<p>Male first names registered at the City of Brussels in 2012.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name;birth";Licence Ouverte (Etalab);en;;2015-10-28T12:46:58+01:00;2018-01-07T23:50:25+01:00;2023-01-31T19:12:34.011000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1879;23731;0;7619;142;0;0;3.5;domain;True;manual
ecoles-primaires-francophones-communales;False;Ecoles primaires francophones communales;<p>Enseignement primaire francophone de la Ville de Bruxelles.</p>;Education, Formation, Recherche, Enseignement;"enseignement;école;primaire";Licence Ouverte (Etalab);fr;;2015-10-28T11:12:16+01:00;2018-01-08T00:06:18+01:00;2023-01-31T19:12:32.495000+01:00;Ville de Bruxelles/Instruction publique;;;25;5526;0;146828;258;0;0;13.2;domain;True;manual
gemeentelijke-basisscholen;False;Gemeentelijke basisscholen;<p>Basisonderwijs van de Stad Brussel.</p>;Education, Formation, Recherche, Enseignement;"basischool;school;onderwijs";Licence Ouverte (Etalab);nl;;2015-10-28T10:18:21+01:00;2018-01-07T23:49:03+01:00;2023-01-31T19:12:32.158000+01:00;Stad Brussel/Openbaar onderwijs;www.brussel.be/4921;;4;620;0;17533;245;0;0;5.1;domain;True;manual
prenoms-masculins-2015;False;Prénoms masculins 2015;<p>Prénoms masculins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2015 (jusqu'au 27 octobre).</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"prénom;masculin;garçon";Licence Ouverte (Etalab);fr;;2015-10-28T12:36:46+01:00;2018-01-08T00:00:41+01:00;2023-01-31T19:12:32.744000+01:00;Ville de Bruxelles/Démographie;www.bruxelles.be/4840;;1587;19912;0;10239;160;0;0;3.9;domain;True;manual
vrouwelijke-voornamen-2006;False;Vrouwelijke voornamen 2006;<p>Vrouwelijke voornamen geregistreerd bij de Stad Brussel in 2006.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"voornaam;meisje";Licence Ouverte (Etalab);nl;;2015-11-03T09:19:26+01:00;2018-01-08T00:15:15+01:00;2023-01-31T19:12:36.833000+01:00;Stad Brussel/Demografie;www.brussel.be/4840;;1518;19499;0;8643;136;0;0;3.6;domain;True;manual
mannelijke-voornamen-2006;False;Mannelijke voornamen 2006;<p>Mannelijke voornamen geregistreerd bij de Stad Brussel in 2006.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"jongen;voornaam";Licence Ouverte (Etalab);nl;;2015-11-03T09:05:41+01:00;2018-01-08T00:11:45+01:00;2023-01-31T19:12:36.640000+01:00;Stad Brussel/Demografie;www.brussel.be/4840;;1451;18356;0;10196;154;0;0;3.9;domain;True;manual
male-first-names-20140;False;Male first names 2014;<p>Male first names registered at the City of Brussels in 2014.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name;birth";Licence Ouverte (Etalab);en;;2015-10-28T12:46:58+01:00;2018-01-07T23:45:14+01:00;2023-01-31T19:12:33.800000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1866;23479;0;7795;154;0;0;3.5;domain;True;manual
male-first-names-2014;False;Male first names 2014;<p>Male first names registered at the City of Brussels in 2014.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name;boy";Licence Ouverte (Etalab);en;;2015-10-28T13:27:55+01:00;;2023-01-31T19:12:33.310000+01:00;City of Brussels/Demography;www.brussels.be/4840;;0;0;0;0;0;0;0;0.0;domain;False;manual
female-first-names-2008;False;Female first names 2008;<p>Female first names registered at the City of Brussels in 2008.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"first name;female;girl";Licence Ouverte (Etalab);en;;2015-10-28T13:05:26+01:00;2018-01-08T00:01:42+01:00;2023-01-31T19:12:36.073000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1608;20695;0;7840;136;0;0;3.5;domain;True;manual
male-first-names-2008;False;Male first names 2008;<p>Male first names registered at the City of Brussels in 2008.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"male;first name;birth";Licence Ouverte (Etalab);en;;2015-10-28T12:46:58+01:00;2018-01-07T23:59:51+01:00;2023-01-31T19:12:35.878000+01:00;City of Brussels/Demography;www.brussels.be/4840;;1484;18642;0;8328;159;0;0;3.6;domain;True;manual
prenoms-feminins-2001;False;Prénoms féminins 2001;<p>Prénoms féminins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2001.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"prénom;féminin;fille";Licence Ouverte (Etalab);fr;;2015-11-03T13:27:02+01:00;2018-01-07T23:48:14+01:00;2023-01-31T19:12:38.734000+01:00;Ville de Bruxelles/Démographie;www.bruxelles.be/4840;;1342;17318;0;7934;140;0;0;3.5;domain;True;manual
mannelijke-voornamen-2010;False;Mannelijke voornamen 2010;<p>Mannelijke voornamen geregistreerd bij de Stad Brussel in 2010.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"jongen;voornaam";Licence Ouverte (Etalab);nl;;2015-10-28T13:24:40+01:00;2018-01-08T00:03:28+01:00;2023-01-31T19:12:34.777000+01:00;Stad Brussel/Demografie;www.brussel.be/4840;;1820;22892;0;7447;154;0;0;3.4;domain;True;manual
vrouwelijke-voornamen-2002;False;Vrouwelijke voornamen 2002;<p>Vrouwelijke voornamen geregistreerd bij de Stad Brussel in 2002.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"voornaam;meisje";Licence Ouverte (Etalab);nl;;2015-11-03T09:19:26+01:00;2018-01-07T23:52:40+01:00;2023-01-31T19:12:38.500000+01:00;Stad Brussel/Demografie;www.brussel.be/4840;;1260;16352;0;9473;152;0;0;3.8;domain;True;manual
prenoms-masculins-2010;False;Prénoms masculins 2010;<p>Prénoms masculins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2010.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"prénom;garçon";;fr;;2015-10-30T08:55:10+01:00;2018-01-08T00:00:30+01:00;2023-01-31T19:12:34.744000+01:00;Ville de Bruxelles/Démographie;www.bruxelles.be/4840;;1820;22892;0;8787;128;0;0;3.6;domain;True;manual
prenoms-feminins-2005;False;Prénoms féminins 2005;<p>Prénoms féminins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2005.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"prénom;féminin;fille";Licence Ouverte (Etalab);fr;;2015-11-03T09:44:29+01:00;2018-01-08T00:01:12+01:00;2023-01-31T19:12:37.102000+01:00;Ville de Bruxelles/Démographie;www.bruxelles.be/4840;;1506;19488;0;8331;135;0;0;3.6;domain;True;manual
honorary-citizens1;False;Honorary citizens;<div><p>Eminent people to whom the City of Brussels has awarded the title of honorary citizen (indicating the name or pseudonym, the function, the date of the granting of the title).</p></div>;Administration, Gouvernement, Finances publiques, Citoyenneté;;Licence Ouverte (Etalab);en;;2016-03-29T09:59:40+02:00;2018-01-08T00:12:33+01:00;2023-01-31T19:12:40.203000+01:00;City of Brussels/Protocole;http://www.brussels.be/7154;;33;3305;0;11153;152;0;0;4.1;domain;True;manual
prenoms-feminins-20150;False;Prénoms féminins 2015;<p>Prénoms féminins enregistrés auprès de la Ville de Bruxelles au cours de l'année 2015.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;prénom;Licence Ouverte (Etalab);fr;;2016-01-15T14:26:20+01:00;2018-01-08T00:10:42+01:00;2023-01-31T19:12:40.609000+01:00;Ville de Bruxelles/Démographie;;;1903;24127;2;10980;174;0;0;6.1;domain;True;manual
bezochte-webpaginas-van-de-stad-per-url-in-2015;False;Bezochte webpagina's van de Stad (per URL) in 2015;"<p>Bezoekersstatistieken van de pagina's van de website van de Stad Brussel (2014) met het adres van de pagina (volgend op <a href=""http://www.brussel.be"" target=""_blank"">www.brussel.be</a>), het aantal bekeken pagina's, het aantal unieke bezoeken. Bron: Google Analytics.</p>";Internet, TIC;;Licence Ouverte (Etalab);nl;;2016-02-05T17:28:28+01:00;2018-01-07T23:46:44+01:00;2023-01-31T19:12:40.736000+01:00;Stad Brussel/Cel Web;;;15000;950844;0;9323;143;0;0;3.8;domain;True;manual
street-art0;False;Street Art;<p>Street Art supported by the City of Brussels.</p>;Culture, Patrimoine, Folklore;"art;street art;Street Art";Licence Ouverte (Etalab);en;;2017-03-29T17:47:03+02:00;2018-01-08T00:06:06+01:00;2023-01-31T19:12:39.521000+01:00;City of Brussels/Culture;;;23;8559;0;45291;490;0;347;8.0;domain;True;manual
europese-mannelijke-bevolking-in-brussel;False;Europese mannelijke bevolking in Brussel;<p>Evolutie van de bevolking afkomstig van de verschillende landen van Europa (mannen) voor de periode 2009-2014.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"man;bevolking;Europa";Licence Ouverte (Etalab);nl;;2016-03-16T10:03:36+01:00;2018-01-08T00:13:18+01:00;2023-01-31T19:12:41.589000+01:00;Stad Brussel/Demografie;http://www.brussel.be/6104;;28;1713;0;7516;155;0;0;3.5;domain;True;manual
pages-du-site-web-de-la-ville-par-titre-visitees-en-2015;False;Pages du site web de la Ville (par titre) visitées en 2015;<p>Statistiques de fréquentation des pages du site web de la Ville de Bruxelles (en 2015) avec le titre de la page, le nombre de pages vues, le nombre de consultations uniques, le temps moyen passé sur la page. Source: Google Analytics.</p><p>Attention: certaines pages du site web de la Ville ont pu être rendues invisibles.</p>;Internet, TIC;"site web;site Internet";Licence Ouverte (Etalab);fr;;2016-03-14T10:22:21+01:00;2018-01-07T23:58:33+01:00;2023-01-31T19:12:40.845000+01:00;Ville de Bruxelles/Cellule Web;;;20000;1596041;0;9809;170;0;0;3.9;domain;True;manual
manger-et-boire-durablement;False;Carte des ressources durables : Manger et boire;<p>Localisation des différents lieux qui promeuvent une alimentation durable  (restaurants, marchés, potagers, fermes, magasins, Gasap, etc.) sur le territoire de la Ville de Bruxelles.</p>;Développement Durable;"Donnerie;don;déchet;donner;DEEE;réparer;recycler;ressourcerie;réutiliser;repair café;retouche;encombrant;informatique;offrir;oxfam;proxy chimique;propreté;pile;composter;collecte;vélo;vêtement;bouchon";Licence Ouverte (Etalab);fr;;2019-03-06T15:01:52+01:00;;2023-01-31T19:12:43.091000+01:00;Ville de Bruxelles/Développement Durable;;;0;0;0;9126;19;0;0;3.3;domain;False;manual
slimme-vuilnisbakken;False;Slimme vuilnisbakken;<p>Slimme vuilnisbakken op het grondgebied van de Stad Brussel.</p>;Environnement, Propreté,Internet, TIC;smart city;Licence Ouverte (Etalab);nl;;2015-12-03T13:16:15+01:00;;2023-01-31T19:12:39.998000+01:00;Stad Brussel/Netheid;;;0;0;0;3426;128;0;0;2.5;domain;False;manual
herstellen-hergebruiken-recycleren-composteren;False;Initiatieven voor duurzame ontwikkeling : Zich verplaatsen;<p>De locatie van de haltes van Collecto en Waterbus en fietsherstelplaatsen op het grondgebied van de Stad Brussel.</p>;Duurzame ontwikkeling;"Herstelling ;fiets;Taxi;Collecto;Waterbus";Licence Ouverte (Etalab);nl;;2019-03-11T09:43:50+01:00;;2023-01-31T19:12:43.409000+01:00;Stad Brussel / Duurzame ontwikkeling;;;0;0;0;3673;6;0;0;2.1;domain;False;manual
european-male-population-in-brussels;False;European male population in Brussels;<p>Evolution of the population from the different countries of Europe (men) for the 2009-2014 period.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;"population;Europe;man";Licence Ouverte (Etalab);en;;2016-03-16T10:01:44+01:00;2018-01-08T00:15:37+01:00;2023-01-31T19:12:41.560000+01:00;City of Brussels/Demography;http://www.brussels.be/6104;;28;1713;0;9578;152;0;0;3.8;domain;True;manual
coronavirus-covid-19-pandemic-worldwide-data;True;COVID-19 Pandemic - Worldwide;"<p><span style='font-size: 16px; caret-color: rgb(36, 41, 46); color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"";'>This is the data for the 2019 Novel Coronavirus Visual Dashboard operated by the Johns Hopkins University Center for Systems Science and Engineering (JHU CSSE). Also, Supported by ESRI Living Atlas Team and the Johns Hopkins University Applied Physics Lab (JHU APL).</span></p><p><br/></p><p style='font-size: 16px; margin-bottom: 16px; caret-color: rgb(36, 41, 46); color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"";'><span style=""font-weight: 600;"">Data Sources</span><br/></p><ul style='font-size: 16px; padding-left: 2em; margin-top: 0px; margin-bottom: 16px; caret-color: rgb(36, 41, 46); color: rgb(36, 41, 46); font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Helvetica, Arial, sans-serif, ""Apple Color Emoji"", ""Segoe UI Emoji"";'><li>World Health Organization (WHO): <a href=""https://www.who.int/"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.who.int/</a> <br/></li><li style=""margin-top: 0.25em;"">DXY.cn. Pneumonia. 2020. <a href=""http://3g.dxy.cn/newh5/view/pneumonia"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">http://3g.dxy.cn/newh5/view/pneumonia</a>.  <br/></li><li style=""margin-top: 0.25em;"">BNO News: <a href=""https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/</a>  <br/></li><li style=""margin-top: 0.25em;"">National Health Commission of the People’s Republic of China (NHC): <br/><a href=""http://www.nhc.gov.cn/xcs/yqtb/list_gzbd.shtml"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">http://www.nhc.gov.cn/xcs/yqtb/list_gzbd.shtml</a> <br/></li><li style=""margin-top: 0.25em;"">China CDC (CCDC): <a href=""http://weekly.chinacdc.cn/news/TrackingtheEpidemic.htm"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">http://weekly.chinacdc.cn/news/TrackingtheEpidemic.htm</a> <br/></li><li style=""margin-top: 0.25em;"">Hong Kong Department of Health: <a href=""https://www.chp.gov.hk/en/features/102465.html"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.chp.gov.hk/en/features/102465.html</a> <br/></li><li style=""margin-top: 0.25em;"">Macau Government: <a href=""https://www.ssm.gov.mo/portal/"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.ssm.gov.mo/portal/</a> <br/></li><li style=""margin-top: 0.25em;"">Taiwan CDC: <a href=""https://sites.google.com/cdc.gov.tw/2019ncov/taiwan?authuser=0"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://sites.google.com/cdc.gov.tw/2019ncov/taiwan?authuser=0</a> <br/></li><li style=""margin-top: 0.25em;"">US CDC: <a href=""https://www.cdc.gov/coronavirus/2019-ncov/index.html"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.cdc.gov/coronavirus/2019-ncov/index.html</a> <br/></li><li style=""margin-top: 0.25em;"">Government of Canada: <a href=""https://www.canada.ca/en/public-health/services/diseases/coronavirus.html"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.canada.ca/en/public-health/services/diseases/coronavirus.html</a> <br/></li><li style=""margin-top: 0.25em;"">Australia Government Department of Health: <a href=""https://www.health.gov.au/news/coronavirus-update-at-a-glance"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.health.gov.au/news/coronavirus-update-at-a-glance</a> <br/></li><li style=""margin-top: 0.25em;"">European Centre for Disease Prevention and Control (ECDC): <a href=""https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.ecdc.europa.eu/en/geographical-distribution-2019-ncov-cases</a></li><li style=""margin-top: 0.25em;"">Ministry of Health Singapore (MOH): <a href=""https://www.moh.gov.sg/covid-19"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">https://www.moh.gov.sg/covid-19</a></li><li style=""margin-top: 0.25em;"">Italy Ministry of Health: <a href=""http://www.salute.gov.it/nuovocoronavirus"" rel=""nofollow"" style=""color: rgb(3, 102, 214); text-decoration: none;"">http://www.salute.gov.it/nuovocoronavirus</a></li></ul>";Santé;"pandemic;coronavirus;covid19;world";CC BY 4.0;en;;2020-04-01T14:15:49+02:00;2022-05-18T04:10:45+02:00;2023-01-31T19:12:45.058000+01:00;Center for Systems Science and Engineering (CSSE) at Johns Hopkins University;https://github.com/CSSEGISandData/COVID-19;;710640;66884137;0;33177;307;0;0;6.8;domain;True;federated
toegekende-subsidies-in-2019;False;Toegekende subsidies in 2019;Subsidies toegekend door de Stad Brussel in 2019;Administration, Gouvernement, Finances publiques, Citoyenneté;subsides;Licence Ouverte (Etalab);fr;;2020-02-11T10:13:56+01:00;2020-02-11T10:16:17+01:00;2023-01-31T19:12:44.828000+01:00;Stad Brussel / Financiën;;;1261;359710;0;10769;40;0;0;3.7;domain;True;manual
inventaris-overheidsopdrachten-2020;False;Inventaris overheidsopdrachten 2020;"<p><span style=""font-size: 12.495px;"">Toegekende overheidsopdrachten van de Stad Brussel in 2020.</span></p><p><span style=""font-family: inherit;""> art 7, § 1 Ordonnance Transparence - Ordonnantie Transparantie 14/12/2017 - art. 6§1,4°  Ordonnance Publicité - Ordonnantie Openbaarheid 16/05/2019</span><br/></p>";Administration, Gouvernement, Finances publiques, Citoyenneté;"Openbare aanbesteding;overheidsopdracht;aankopen";Licence Ouverte (Etalab);fr;;2021-04-01T14:08:09+02:00;2021-04-01T14:10:27+02:00;2023-01-31T19:12:46.257000+01:00;Ville de Bruxelles/Finances;;;1902;1194174;0;7519;45;0;0;3.2;domain;True;manual
fietsvelo-verhoogde-fietspaden-pistes-cyclables-surelevees;False;Fiets/Vélo: verhoogde fietspaden - pistes cyclables surélevées;<p>Fiets: verhoogde fietspaden - <p><p>Vélo : pistes cyclables surélevées</p></p></p>;Mobilité, Transports;"fiets;vélo;cycliste";;fr;;2018-05-18T17:50:45+02:00;2018-06-11T15:52:17+02:00;2023-01-31T19:12:42.714000+01:00;;;;40;20421;0;18871;238;0;0;5.3;domain;True;manual
se-divertir;False;Carte des ressources durables: Centres de jeunes et centres d'informations des jeunes;<p>Localisation des maisons de jeunes, centres de jeunes et centre d'informations des jeunes présents sur le territoire de la Ville de Bruxelles.</p>;Développement durable;"théâtre;musée;maison de jeunes;centre de jeunes;centre d'information des jeunes;jeune;aide;information";Licence Ouverte (Etalab);fr;;2019-03-06T16:35:06+01:00;;2023-01-31T19:12:43.253000+01:00;Ville de Bruxelles/Développement Durable;;;0;0;0;3764;3;0;0;2.1;domain;False;manual
quartiers-copie;False;Quartiers – copie;<p>Carte des quartiers de Bruxelles (Pentagone, Haren, Laeken, Louise, Neder-Over-Heembeek/Mutsaard, Nord, Nord-Est).</p>;Aménagement du territoire, Urbanisme, Bâtiments, Equipements, Logement;quartier;Licence Ouverte (Etalab);fr;;2015-04-24T11:43:20+02:00;;2023-01-31T19:12:45.537000+01:00;Ville de Bruxelles/Urbanisme;;;0;0;0;0;0;0;0;0.0;domain;False;scheduled
