Ville de Bruxelles - Département / Stad Brussel - Departement;Type de marché (Travaux, fournitures, services - objet du marché - procédure de passation - réf CSC);Type opdracht  (werken, leveringen, diensten - voorwerp van de opdracht - plaatsingsprocedure - ref bestek);Date du marché - Datum van de opdracht;Bénéficiaires (opérateur économique à qui le marché a été attribué) / Begunstigden  (onderneming aan wie de opdracht werd toegewezen);Montant engagé TVAC / vastgelegd bedrag btwi;Column 7;Column 8;Column 9;Column 10;Column 11;Column 12;Column 13;Column 14;Column 15;Column 16;Column 17;Column 18;Column 19;Column 20;Column 21;Column 22;Column 23;Column 24;Column 25;Column 26;Column 27;Column 28;Column 29;Column 30;Column 31;Column 32;Column 33;Column 34;Column 35;Column 36;Column 37;Column 38;Column 39;Column 40;Column 41;Column 42;Column 43;Column 44;Column 45;Column 46;Column 47;Column 48;Column 49;Column 50;Column 51;Column 52;Column 53;Column 54;Column 55;Column 56;Column 57;Column 58;Column 59;Column 60;Column 61;Column 62;Column 63;Column 64;Column 65;Column 66;Column 67;Column 68;Column 69;Column 70;Column 71;Column 72;Column 73;Column 74;Column 75;Column 76;Column 77;Column 78;Column 79;Column 80
Urbanisme / Stedenbouw;Marché de Service : mission complète pour la réalisation de projets d’aménagement de 7 îlots dans le quartier des Marolles sur le territoire de la Ville de Bruxelles Procédure concurrentielle avec négociation (publication européenne) 0602/V009/2020;Dienstenopdracht : Volledige opdracht voor de herinrichtingsprojecten voor 7 binnengebieden in de Marollen wijk op het grondgebied van Stad Brussel  Mededingingsprocedure met onderhandeling (Europese publicatie0602/V009/2020;2021-04-20;Suède 36 sprl avenue van Volxem 381 b 20- 1190 Bruxelles;271.128,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de fournitures de quincaillerie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges: OPP/2021/094);Overheidsopdracht voor de levering van hardware gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr. OPP/2021/094);2021-09-16;DESSART;7.138,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de service ayant pour but d'assurer des animations pendant la journée du bien-être animal;Overheidsdienstcontract voor animaties tijdens de Dag van het Dierenwelzijn;2021-09-12;Puppies and compagny;363,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de services ayant pour objet la mise en lumières des façades et toiture de la Bourse - Procédure négociée sans publication préalable en application de l'article 42 de la loi du 17/06/2016 -  (cahier des charges: OPP/2021/102);Overheidsopdracht voor diensten met als voorwerp de verlichting van de gevels en daken van de Beurs - Onderhandelingsprocedure zonder voorafgaande bekendmaking in toepassing van artikel 42 van de wet van 17/06/2016 - (bestek nr. OPP/2021/102);2021-12-23;LIGHT TO LIGHT;70.180,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de service ayant pour but la présence d'un food-truck végétarien pendant la journée du bien-être animal;Overheidsdienstcontract voor de aanwezigheid van een vegetarische food-truck tijdens de dierenwelzijnsdag;2021-09-12;Cosy-Green;393,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de services ayant pour objet la mission d'étude sur les oeuvres sculptées en marbre blanc - marché public de faible montant en application de l'article 92 de la loi du 17/06/2016 - (cahier des charges: OPP/2021/107);Overheidsopdracht voor diensten met als voorwerp de studieopdracht naar de werken gebeeldhouwd in wit marmer - overheidsopdracht van beperkte waarde in toepassing van artikel 92 van de wet van 17/06/2016 -  (bestek nr. OPP/2021/107);2021-10-11;Jacques Vereecke SPRL;20.727,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de service ayant pour but l'organisation de deux monitorings de popultaions de pigeons;Overheidsdienstcontract voor de organisatie van de monitoring van twee duivenpopulaties;2021-12-16;Galluvet;3.146,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de travaux ayant pour l'objet l'extension de la Centrale for Contemporary Art - marché public de faible montant en application de l'article 92 de la loi du 17/06/2016 -  (cahier des charges: OPP/2021/112);Overheidsopdracht voor werken met als voorwerp de uitbreiding van de Centrale for Contemporary Art - overheidsopdracht van beperkte waarde in toepassing van artikel 92 van de wet van 17/06/2016 -  (bestek nr. OPP/2021/112);2021-09-30;FAKANE SRL;29.899,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Urbanisme / Stedenbouw;Marché public de fourniture ayant pour but l'achat de graines contraceptives pour pigeons;Overheidscontract voor leveringen voor de aankoop van anticonceptiezaad voor duiven;2021-07-01;Galluvet;8.132,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de services - Centre Administratif - Réparation en urgence du lave-vaisselle du mess -2 - marché public de faible montant en application de l'article 92 de la loi du 17/06/2016 - Non application de l'article 60 -  (cahier des charges: OPP/2021/148);Overheidsopdracht voor dienst - Administratief Centrum - Dringende reparatie van de vaatwasser van - 2 - overheidsopdracht van beperkte waarde in toepassing van artikel 92 van de wet van 17/06/2016 - Niet-toepassing artikel 60 - (bestek nr. OPP/2021/148);2021-11-18;Hobart;947,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but le nettoyage après travaux de la nouvelle crèche Marie Popelin sise rue Léopold, 210 à 1020 Bruxelles conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Overheidsopdracht voor diensten voor het schoonmaken na werken van de nieuwe crèche Marie Popelin gelegen Leopoldstrat  210 te 1020 Brussel, afgesloten via een overheidsopdracht van geringe betekenis. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2022-01-13;"GOM S.A.; SPF FINANCES";1.357,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de travaux -  La construction de fritkots sur le territoire de la Ville de Bruxelles. - Mise à la terre - marché public de faible montant en application de l'article 92 de la loi du 17/06/2016 - (cahier des charges: OPP/2021/152);Overheidsopdracht voor werken - De bouw van frietkramen op het grondgebied van de Stad Brussel. - Aarding - overheidsopdracht van beperkte waarde in toepassing van artikel 92 van de wet van 17/06/2016 C111 (bestek nr. OPP/2021/152);2021-09-12;DABIB SA;537,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de diverses machines de type électro-ménager par le fournisseur, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van electro-huishoudelijke machines door de fabriek vastgelegd via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2021-07-15;"MIELE; DESSART S.A.; WHIRLPOOL CORPORATION; V.O. CITIZEN; GBM SA";3.399,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de fournitures de peinture conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges: OPP/2021/158);Overheidsopdracht voor de levering van verf  gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr. OPP/2021/158);2021-12-16;ROELS;15.793,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de fournitures ayant pour but l'achat de magazines spécifiques pour le secteur de la Petite Enfance (0-3 ans), conclu par une procédure de faible montant;Openbare opdracht voor leveringen met als doel de aankoop van tijdschriften specifiek voor de sector van het Jonge Kind (0-3 jaar) vastgelegd via  opdracht voor gering bedrag;2021-10-29;"ROULARTA; ECOLE DES LOISIRS; VBJK";3.380,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de fournitures de quincaillerie conclu par facture acceptée en application de l'article 92 de la loi du 17/06/2016 (cahier des charges: OPP/2021/162);Overheidsopdracht voor de levering van hardware gesloten door aanvaarde factuur in toepassing van artikel 92 van de wet van 17/06/2016 (bestek nr. OPP/2021/162);2021-12-16;DESSART;11.256,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de services ayant pour but la réparation de la plieuse du service titres d'identités, conclu via un marché public de minime importance. Non-application de l’article 60 du Règlement général de la Comptabilité communale en raison de circonstances imprévisibles et impérieuses;Openbare opdracht voor diensten met als doel de reparatie van de vouwmachine van de dienst identiteitstitels via een openbare opdracht van geringe omvang. Niet-toepassen van het artikel 60 van het Algemeen reglement van de Gemeentelijke boekhouding omwille van onvoorziene en dwingende omstandigheden;2021-04-02;QUADIENT, FORMERLY NEOPOST, Ikaroslaan 37 à 1930 Zaventem.;415,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patrimoine publique / Openbare patrimonium;Marché public de services - Centre Administratif - Réparation en urgence du lave-vaisselle du mess -2 - marché public de faible montant en application de l'article 92 de la loi du 17/06/2016 - (cahier des charges: OPP/2021/176);Overheidsopdracht voor diensten - Administratief Centrum - Dringende reparatie van de vaatwasser van - 2 -  overheidsopdracht van beperkte waarde in toepassing van artikel 92 van de wet van 17/06/2016 - (bestek nr. OPP/2021/176);2021-12-16;Hobart;288,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Démographie / Demografie;Marché public de fournitures ayant pour but l'organisation de drinks de fin d'année, conclu par une procédure de faible montant;Openbare opdracht voor leveringen met als doel de organisatie van eindejaarsdrinken vastgelegd via opdracht voor gering bedrag;2021-09-12;LES FRERES DEBEKKER, rue Charles Degroux 95, 1040 Bruxelles;4.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/658 - 7340812204 - WF2385550 - Modèles 2021;Diensten - 21/658 - 7340812204 - WF2385550 - Modèles 2021;2021-04-02;SMART secrétariat - productions associées;50.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21651 - 7000812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21651 - 7000812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);93.814,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21645 - 7350812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21645 - 7350812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);22.180,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21647 - 7510812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21647 - 7510812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);10.160,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21648 - 8710812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21648 - 8710812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);3.100,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/21644 - 7340812402 - WF2396711 - Livres et abonnements;Leveringen - 21/21644 - 7340812402 - WF2396711 - Boeken en abonnementen;2021-04-22;Collectif (Tropismes, …);1.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/31801 - 7000812406 - WF2412275 - Collecte de produits dangereux Reper-Vreven 117;Diensten - 21/31801 - 7000812406 - WF2412275 - Collecte de produits dangereux Reper-Vreven 117;2021-07-15;MOURIK;3.291,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/33983 - 7000812317 - WF2403657 - cours anglais;Diensten - 21/33983 - 7000812317 - WF2403657 - cours anglais;2021-07-15;F9 Languages in Brussels;1.197,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/36918 - 7000812406 - WF2417718 - Réparation NAP60-5;Diensten - 21/36918 - 7000812406 - WF2417718 - Herstelling NAP60-5;2021-08-26;Some Products;4.851,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/39241 - 7220812204 - WF2420411 - Animations théâtrales;Diensten - 21/39241 - 7220812204 - WF2420411 - Animations théâtrales;2021-09-09;LA MONTAGNE MAGIQUE;4.608,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/39261 - 7220812204 - WF2420452 - Ateliers;Diensten - 21/39261 - 7220812204 - WF2420452 - Ateliers;2021-09-16;Lonardo Clemento;4.500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/40342 - 7210812204 - WF2420413 - PROJET 2021 KAPLA;Diensten - 21/40342 - 7210812204 - WF2420413 - PROJET 2021 KAPLA;2021-09-16;BASING SRL – Centre Kapla de Bruxelles;1.624,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41575 - 7210812204 - WF2422926 - Kapla - Projet 21;Diensten - 21/41575 - 7210812204 - WF2422926 - Kapla - Projet 21;2021-09-23;BASING SRL – Centre Kapla de Bruxelles;900,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/42519 - 7000812406 - WF2425310 - Réparation NAP60-6;Diensten - 21/42519 - 7000812406 - WF2425310 - Herstelling NAP60-6;2021-07-10;Some Products;5.995,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41837 - 7000812204 - WF2424122 - Classes de paix;Diensten - 21/41837 - 7000812204 - WF2424122 - Classes de paix;2021-10-21;EDUCATION GLOBAL ET DEVELOPPEMENT ASBL;14.040,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41863 - 7210812204 - WF2424211 - Initiation cirque;Diensten - 21/41863 - 7210812204 - WF2424211 - Initiation cirque;2021-10-21;ECOLE DE CIRQUE PRÈS DE CHEZ VOUS;4.320,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41765 - 7220812204 - WF2422566 - Formation harcèlement;Diensten - 21/41765 - 7220812204 - WF2422566 - Formation harcèlement;2021-10-21;ASBL Centre de Planning Familial des F.P.S. Du centre, Charleroi;1.087,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/41878 - 7220812204 - WF2424275 - Workshop;Diensten - 21/41878 - 7220812204 - WF2424275 - Workshop;2021-10-21;Théâtre royale de la Monnaie;780,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/44624 - 7210812204 - WF2428176 - Ateliers d'éveil musical;Diensten - 21/44624 - 7210812204 - WF2428176 - Ateliers d'éveil musical;2021-10-29;JEUNESSES MUSICALES DE LA REGION DE BRUXELLES-CAPITALE ASBL;2.771,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/43770 - 7210812204 - WF2426799 - Formation sur la transition en classe d'accueil;Diensten - 21/43770 - 7210812204 - WF2426799 - Formation sur la transition en classe d'accueil;2021-10-29;Centre de formation permanente et de Recherche dans les Milieux;900,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/55031 - 7310812402 - WF2439447 - Outils pédagogiques Ludopédagogie;Leveringen - 21/55031 - 7310812402 - WF2439447 - Outils pédagogiques Ludopédagogie;2021-09-12;Collectif (Pirouette Editions, …);200.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/55024 - 7220812402 - WF2439032 - Projet coin lecture;Leveringen - 21/55024 - 7220812402 - WF2439032 - Projet coin lecture;2021-09-12;Collectif (Tropismes, …);25.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Fournitures - 21/55923 - 1400812313 - WF2441248 - Matériel informatique;Leveringen - 21/55923 - 1400812313 - WF2441248 - Matériel informatique;2021-12-16;Tic Harmony asbl;13.500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/55844 - 7220812402 - WF2441131 - Régul. 2019;Diensten - 21/55844 - 7220812402 - WF2441131 - Régul. 2019;2021-12-23;Uitgeverij Die Keure / La Charte;1.836,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/53422 - 7410812317 - WF2437948 - HEFF - journee formation peda;Diensten - 21/53422 - 7410812317 - WF2437948 - HEFF - journee formation peda;2021-12-23;CEMEA;1.200,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Instruction publique / Openbare onderwijs;Services - 21/57048 - 7310812406 - WF2442653 - Webdesign;Diensten - 21/57048 - 7310812406 - WF2442653 - Webdesign;2022-01-13;Cobea Coop;25.000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Petite rue des Bouchers 21 - Inventaire amiante destructif - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a)  & 92) - marché public de faible montant;Dienst - Kleine Beenhouwersstraat 21 - Destructieve asbestinventaris - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a)  & 92) - Overheidsopdracht van beperkte waarde;2021-07-10;"SGI COMPLIANCE nv,
Vluchtenburgstraat 13 - 2630 Aartselaar";913,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Service - Marché de services ""Réalisation d’estimations de terrains et de bâtiments"" - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a)  & 92) - marché public de faible montant";"Dienst - Opdracht voor diensten ""Uitvoering van schattingen van terreinen en gebouwen” - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a)  & 92) - Overheidsopdracht van beperkte waarde";2021-10-11;Jean-Charles de Paeuw - Rue De Keersmaeker 50, 1090 Jette;72.551,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Porte de Ninove - Logements  MASTERPLAN - Etudes phytosanitaires - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Dienst - Ninoofsepoort - Woningen - MASTERPLAN - fytosanitaire studies - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-05-20;"DRYADES SPRL- rue Demi-Lune 42 à 1435 Mont-Saint-Guibert;";2.541,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Fournniture - Cirque: fourniture de cachet - Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Koningklijk Circus - Stempel Levering- Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-10-14;GOMMY STAMPS - rue de Laeken 104 - 1000 Bruxelles;440,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Service - Bockstael_Désignation d'un architecte- Procédure négociée sans publication préalable (Loi 17/6/2016 - art. 42 §1, 1° a);Dienst - Bockstael - Aanduiding van een architecte - Onderhandelingsprocedure zonder voorafgaande bekendmaking (Wet 17/6/2016 - art. 42 §1, 1° a);2021-01-07;JAVA Architecten/s, rue Foppens 10A, 1000 Bruxelles;42.350,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;Travaux - Fusain - Raccordement aux réseau d'eau;Werken - Pappenhout - Aansluiting waternet;2021-07-15;VIVAQUA, Keizerinlaan 17-19 te 1000 Brussel;5.428,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services ""Services de gardiennage / accueil de l'agence de la Régie foncière"" conclu par procédure négociée sans publication préalable en application de l'article 42, §1 1°a) - Cahier des charges RF/21/PNSPP/884";"Overheidsopdracht voor diensten  ""Bewaking en onthaal van het agentschap van de Grondregie"", aanbesteed via onderhandelingsprocedure zonder voorafgaandelijk bekendmaking in toepassing van het artikel 42|§1 1°a -Lastenboek RF/21/PNSPP/884";2021-11-18;European Security Group - Night Department sprl, avenue du Vallon, 83, 1380 Lasne;48.339,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de travaux ""Rénovation des toitures des bâtiments du domaine privé de la Ville de Bruxelles"" - Répétition, conclu par procédure ouverte sans publication préalable (répétition) - Cahier des charges RF/21/PNSPP/871";"Overheidsopdracht voor werken met als doel "" Dakrenovatie van de gebouwen van het private domein van Stad Brussel"" Herhaling, aanbesteed via een openbare procedure zonder voorafgaandelijk bekendmaking -Lastenboek RF/21/PNSPP/871";2021-09-23;Zolderse Dakprojekten, Dellestraat, 30B à 3560 Lummen;989.220,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services ""Réalisation des mesurages de terrains et de bâtiments pour le compte de la Régie foncière de la Ville de Bruxelles"", conclu par procédure négocie sans publication préalable en application de l'article 42, §1 1°a) - Cahier des charges RF/20/PNSPP/861";"Overheidsopdracht voor diensten ""Het uitvoeren van opmetingen van terreinen en gebouwen in opdracht van de Grondregie"", aanbesteed via onderhandelingsprocedure zonder voorafgaandelijk bekendmaking in toepassing van het artikel 42|§1 1°a -  Lastenboek RF/20/PNSPP/861";2021-07-15;BUREAU WOLF, rue des Canadiens, 16 à 7180 Seneffe;147.015,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régie foncière / Grondregie;"Marché public de services ""Evacuation d'encombrants"" conclu par procédure négociée sans publication préalable en application de l'article 42, §1 1°a) - Cahier des charges RF/21/PNSPP/858";"Overheidsopdracht voor diensten  ""Verwijderen van grofvuil in de gemeenschappelijke gedeelten"", aanbesteed via onderhandelingsprocedure zonder voorafgaandelijk bedmaking in toepassing van het artikel 42|§1 1°a - Lastenboek RF/21/PNSPP/858";2021-01-21;Alphanet Cleaning Services sprl, avenue François Gay, 290 bte 1 à 1150 Bruxelles;142.628,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
